店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
シュラスコハウス 月光 GEKKO 五反田店,050-5494-2322,,東京都,品川区西五反田,1-18-1,3F,https://gj96900.gorp.jp/,True
大衆炉ばた 火ノ間 ‐HINOMA‐,050-5485-6013,,東京都,品川区南大井,6-17-12,5F,https://gjj6501.gorp.jp/,True
焼き鳥居酒屋 みらいちず 平井店,03-5829-8853,,東京都,江戸川区平井,4-12-1,立花屋平井駅前ビル2F,https://gjxv200.gorp.jp/,True
せり鍋専門店 せりいち 仙台駅前,050-5494-2154,,宮城県,仙台市青葉区中央,3-6-10,フージャース仙台駅前ビル4F,https://gj49302.gorp.jp/,True
旬彩和酒 KOTO,050-5494-1949,,島根県,松江市朝日町,590-10,ダイワロイネットホテル松江駅前2F,https://y064401.gorp.jp/,True
十徳や 筑紫口店,050-5484-5597,,福岡県,福岡市博多区博多駅東,2-4-26,,https://jyutokuyachikusiguchi.gorp.jp/,True
新宿 全席個室居酒屋 AJI彩【弐号館】,050-5494-1931,,東京都,新宿区歌舞伎町,1-17-11,プレーンシティ新宿ビルB1,https://gjxx901.gorp.jp/,True
全席個室居酒屋 黒毛和牛と牛タン kurosawa 名古屋駅店,050-5489-5595,,愛知県,名古屋市中村区名駅,3-15-8,名駅グルメプラザ5F,https://gaed332.gorp.jp/,True
全席個室 楽蔵うたげ 八重洲店,050-2018-8849,,東京都,中央区日本橋,3-2-16,マスヤビル1～4Ｆ,,False
全席個室居酒屋 黒毛和牛と港直送朝獲れ鮮魚 華の粋 新橋本店,050-5492-9785,,東京都,港区新橋,3-6-1,碧山ビル2F,https://gfba302.gorp.jp/,True
魚座 池袋店,03-6907-3936,,東京都,豊島区西池袋,1-23-6,B1F,https://ggpb114.gorp.jp/,True
個室 和食 居酒屋 ほたる 難波（なんば）店,050-5488-0564,,大阪府,大阪市中央区難波,1-5-20,フェローズビル3F,https://ke4h901.gorp.jp/,True
全席個室 楽蔵うたげ有楽町駅前店,050-2018-8861,,東京都,千代田区有楽町,2-3-5,aune有楽町3F,,False
少人数貸切×記念日meat＆wine BACCHUS,050-5488-1751,,東京都,千代田区神田東松下町,49,,https://ggpn800.gorp.jp/,True
個室完備中華 新荘園 田町ステーションタワーS店,050-5487-5692,,東京都,港区芝浦,3-1-21,msb Tamachi田町ステーションタワーS2F,https://gb1t009.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐博多筑紫口店,050-2018-8788,,福岡県,福岡市博多区博多駅中央街,6-3,博多中央街ビル2Ｆ・3Ｆ,,False
横浜中華街 皇朝レストラン,050-5484-9830,support@ko-cho.com,神奈川県,横浜市中区山下町,138-24,,https://kocho.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐池袋西口店,050-2018-8898,,東京都,豊島区西池袋,1-21-1,YKDビル3F,,False
高田屋 川崎駅前店,050-5484-1647,takadayakawasaki@song.ocn.ne.jp,神奈川県,川崎市川崎区駅前本町,3-3,ムラタヤビルB1,https://takadayakawasakiekimae.gorp.jp/,True
個室居酒屋 海鮮・地鶏 どっこい酒場惚鶏 川崎駅前店,050-5492-1291,,神奈川県,川崎市川崎区砂子,2-2-9,第一園ビル3F,https://ghfe500.gorp.jp/,True
個室ダイニング 楽蔵‐RAKUZO‐神戸三宮駅前店,050-2018-8993,,兵庫県,神戸市中央区北長狭通,1-20-13,北野坂壱番館4・5F,,False
Wedding＆貸切パーティーGINZA ROOTS TOKYO 【銀座ルーツ東京】,050-5484-1754,info@ginzaroots.com,東京都,中央区銀座,2-4-18,アルボーレ銀座 7F,https://ginzarootstokyo.gorp.jp/,True
さかな市場 広島総本店,050-5488-6227,,広島県,広島市南区松原町,10-1,フルフォーカスビル4F,https://y017617.gorp.jp/,True
鉄板焼き鳥と肉寿司個室UMIバル×肉酒場 310 秋葉原店,050-5492-6726,,東京都,千代田区神田佐久間町,1-19,山中ビル2F,https://gf34807.gorp.jp/,True
魚と日本酒＆炭火焼き鳥 完全個室居酒屋 新橋商店 総本店,050-5486-4331,,東京都,港区新橋,4-19-1,新橋THビル1F,https://gfba305.gorp.jp/,True
全席個室 湊一や 日本橋八重洲店,050-2018-8851,,東京都,中央区日本橋,2-3-4,日本橋プラザビル2F,,False
